symbol,side,open_time,close_time,ep,bep,tp,dca_count,pnl_usd,pnl_pct,fee_usd,holding_minutes,close_reason
BNBUSDT,SHORT,2023-02-10 16:02:00,2023-02-10 16:03:00,307.23,307.08,306.47,0,0.36,0.1778,0.08,1,TP
BNBUSDT,LONG,2023-02-10 17:22:00,2023-02-10 17:31:00,304.97,305.09,305.7,0,0.36,0.1797,0.08,9,TP
BNBUSDT,LONG,2023-02-10 21:05:00,2023-02-10 21:47:00,305.2,305.32,305.93,9,3.59,0.1795,0.8,42,TP
BNBUSDT,LONG,2023-02-11 18:30:00,2023-02-11 19:09:00,307.32,307.47,308.08,0,0.36,0.1778,0.08,39,TP
BNBUSDT,LONG,2023-02-12 04:39:00,2023-02-12 05:50:00,306.01,306.16,306.77,0,0.36,0.1788,0.08,71,TP
BNBUSDT,LONG,2023-02-12 10:14:00,2023-02-12 10:39:00,307.74,307.86,308.48,0,0.36,0.181,0.08,25,TP
BNBUSDT,LONG,2023-02-12 12:52:00,2023-02-12 13:02:00,307.77,307.92,308.54,0,0.36,0.1807,0.08,10,TP
BNBUSDT,SHORT,2023-02-12 22:29:00,2023-02-12 22:31:00,315.36,315.2,314.57,0,0.35,0.1783,0.08,2,TP
BNBUSDT,SHORT,2023-02-13 04:21:00,2023-02-13 04:29:00,313.21,313.08,312.45,0,0.36,0.1803,0.08,8,TP
BNBUSDT,LONG,2023-02-13 07:38:00,2023-02-13 08:12:00,306.19,306.31,306.92,32,11.78,0.1785,2.64,34,TP
BNBUSDT,LONG,2023-02-13 08:19:00,2023-02-13 08:31:00,300.04,300.16,300.76,11,4.33,0.18,0.96,12,TP
BNBUSDT,LONG,2023-02-13 09:34:00,2023-02-13 09:35:00,289.4,289.52,290.1,0,0.36,0.1811,0.08,1,TP
BNBUSDT,SHORT,2023-02-13 09:41:00,2023-02-13 09:42:00,294.81,294.69,294.1,0,0.36,0.1805,0.08,1,TP
BNBUSDT,SHORT,2023-02-13 09:48:00,2023-02-13 09:50:00,294.89,294.77,294.18,0,0.36,0.1804,0.08,2,TP
BNBUSDT,SHORT,2023-02-13 10:06:00,2023-02-13 10:07:00,295.22,295.1,294.51,0,0.36,0.1802,0.08,1,TP
BNBUSDT,LONG,2023-02-13 10:20:00,2023-02-13 10:22:00,289.37,289.49,290.07,1,0.72,0.1812,0.16,2,TP
BNBUSDT,LONG,2023-02-13 11:53:00,2023-02-13 11:59:00,291.46,291.58,292.16,1,0.72,0.1796,0.16,6,TP
BNBUSDT,SHORT,2023-02-13 12:11:00,2023-02-13 12:24:00,293.96,293.84,293.25,2,1.09,0.1811,0.24,13,TP
BNBUSDT,LONG,2023-02-13 12:35:00,2023-02-13 12:36:00,292.26,292.38,292.96,0,0.36,0.179,0.08,1,TP
BNBUSDT,LONG,2023-02-13 12:59:00,2023-02-13 13:21:00,291.06,291.18,291.76,1,0.72,0.1799,0.16,22,TP
BNBUSDT,LONG,2023-02-13 13:49:00,2023-02-13 13:50:00,290.09,290.21,290.79,0,0.36,0.1806,0.08,1,TP
BNBUSDT,LONG,2023-02-13 13:56:00,2023-02-13 14:02:00,289.3,289.42,290.0,1,0.72,0.1812,0.16,6,TP
BNBUSDT,SHORT,2023-02-13 14:58:00,2023-02-13 15:00:00,291.9,291.78,291.2,0,0.36,0.1793,0.08,2,TP
BNBUSDT,LONG,2023-02-13 16:16:00,2023-02-13 16:21:00,285.55,285.68,286.25,1,0.72,0.1791,0.16,5,TP
BNBUSDT,LONG,2023-02-13 16:27:00,2023-02-13 16:28:00,283.08,283.19,283.76,0,0.37,0.1826,0.08,1,TP
BNBUSDT,LONG,2023-02-13 16:34:00,2023-02-13 16:35:00,283.19,283.3,283.87,0,0.37,0.1825,0.08,1,TP
BNBUSDT,LONG,2023-02-13 17:25:00,2023-02-13 17:30:00,283.7,283.81,284.38,1,0.73,0.1821,0.16,5,TP
BNBUSDT,SHORT,2023-02-13 19:20:00,2023-02-13 19:30:00,288.96,288.84,288.26,0,0.36,0.1815,0.08,10,TP
BNBUSDT,SHORT,2023-02-13 23:24:00,2023-02-14 00:01:00,293.74,293.62,293.03,7,2.9,0.1813,0.64,37,TP
BNBUSDT,LONG,2023-02-14 00:07:00,2023-02-14 01:50:00,290.4,290.52,291.1,14,5.4,0.1797,1.2,103,TP
BNBUSDT,LONG,2023-02-14 06:36:00,2023-02-14 06:40:00,291.32,291.44,292.02,0,0.36,0.1797,0.08,4,TP
BNBUSDT,SHORT,2023-02-14 12:46:00,2023-02-14 12:57:00,295.22,295.09,294.5,1,0.72,0.1786,0.16,11,TP
BNBUSDT,LONG,2023-02-14 13:30:00,2023-02-14 13:31:00,291.84,291.96,292.54,0,0.36,0.1793,0.08,1,TP
