symbol,side,open_time,close_time,ep,bep,tp,dca_count,pnl_usd,pnl_pct,fee_usd,holding_minutes,close_reason
BTCUSDT,LONG,2023-12-14 20:17:00,2023-12-14 21:06:00,42882.1,42899.3,42985.1,0,0.39,0.1801,0.09,49,TP
BTCUSDT,SHORT,2023-12-14 21:12:00,2023-12-14 21:52:00,43030.5,43013.3,42927.3,0,0.39,0.1798,0.09,40,TP
BTCUSDT,LONG,2023-12-15 03:34:00,2023-12-15 04:54:00,42731.3,42752.7,42838.2,0,0.38,0.18,0.09,80,TP
BTCUSDT,LONG,2023-12-15 13:22:00,2023-12-15 15:02:00,42167.0,42184.1,42268.5,20,7.97,0.1801,1.77,100,TP
BTCUSDT,SHORT,2023-12-15 18:39:00,2023-12-15 19:46:00,42111.0,42094.2,42010.0,1,0.76,0.1799,0.17,67,TP
BTCUSDT,SHORT,2023-12-15 20:25:00,2023-12-15 20:32:00,42256.2,42239.3,42154.8,0,0.38,0.1801,0.08,7,TP
BTCUSDT,LONG,2023-12-17 19:34:00,2023-12-17 19:48:00,42094.7,42115.7,42199.9,0,0.38,0.18,0.08,14,TP
BTCUSDT,SHORT,2023-12-18 03:10:00,2023-12-18 05:58:00,41129.6,41111.1,41028.9,1,0.74,0.1799,0.16,168,TP
BTCUSDT,SHORT,2023-12-18 09:42:00,2023-12-18 09:58:00,41169.8,41153.3,41071.0,0,0.37,0.1798,0.08,16,TP
BTCUSDT,LONG,2023-12-18 15:05:00,2023-12-18 16:16:00,41275.2,41292.1,41374.7,9,3.72,0.1802,0.83,71,TP
BTCUSDT,SHORT,2023-12-18 22:11:00,2023-12-18 22:19:00,42712.9,42695.8,42610.4,0,0.38,0.1798,0.09,8,TP
BTCUSDT,LONG,2023-12-18 22:30:00,2023-12-18 23:00:00,42495.2,42512.2,42597.2,0,0.38,0.18,0.08,30,TP
BTCUSDT,SHORT,2023-12-18 23:06:00,2023-12-18 23:10:00,42724.0,42702.6,42617.2,0,0.38,0.1798,0.09,4,TP
BTCUSDT,LONG,2023-12-20 16:53:00,2023-12-20 17:02:00,43682.1,43700.5,43787.9,4,1.97,0.18,0.44,9,TP
BTCUSDT,LONG,2023-12-21 14:42:00,2023-12-21 14:52:00,43685.8,43707.6,43795.0,0,0.39,0.1801,0.09,10,TP
BTCUSDT,LONG,2023-12-21 14:58:00,2023-12-21 15:08:00,43542.1,43559.5,43646.6,2,1.18,0.18,0.26,10,TP
BTCUSDT,SHORT,2023-12-21 19:54:00,2023-12-21 23:08:00,44007.5,43985.5,43897.5,15,6.34,0.18,1.41,194,TP
BTCUSDT,LONG,2023-12-22 20:59:00,2023-12-22 21:34:00,43650.7,43672.5,43759.8,0,0.39,0.18,0.09,35,TP
BTCUSDT,SHORT,2023-12-23 15:47:00,2023-12-23 15:57:00,43881.1,43859.2,43771.5,0,0.39,0.1799,0.09,10,TP
BTCUSDT,LONG,2023-12-24 22:35:00,2023-12-24 22:44:00,42876.2,42895.5,42981.3,1,0.77,0.1801,0.17,9,TP
BTCUSDT,LONG,2023-12-26 13:34:00,2023-12-26 13:41:00,42660.2,42681.5,42766.9,0,0.38,0.18,0.09,7,TP
BTCUSDT,LONG,2023-12-26 16:20:00,2023-12-26 16:30:00,42261.1,42278.0,42362.6,1,0.76,0.1801,0.17,10,TP
BTCUSDT,SHORT,2023-12-26 18:04:00,2023-12-26 18:10:00,42189.9,42173.0,42088.7,0,0.38,0.18,0.08,6,TP
BTCUSDT,SHORT,2023-12-26 18:45:00,2023-12-26 19:51:00,42250.0,42233.1,42148.6,3,1.52,0.1799,0.34,66,TP
BTCUSDT,SHORT,2023-12-27 06:35:00,2023-12-27 06:50:00,42593.7,42572.4,42487.3,0,0.38,0.1801,0.09,15,TP
BTCUSDT,LONG,2023-12-27 13:02:00,2023-12-27 13:06:00,42779.1,42796.2,42881.8,0,0.39,0.1802,0.09,4,TP
BTCUSDT,SHORT,2023-12-27 20:33:00,2023-12-27 21:03:00,43485.8,43467.0,43380.1,2,1.17,0.18,0.26,30,TP
BTCUSDT,LONG,2023-12-30 09:43:00,2023-12-30 09:48:00,41560.0,41580.8,41664.0,0,0.37,0.18,0.08,5,TP
BTCUSDT,SHORT,2023-12-30 13:58:00,2023-12-30 14:25:00,42203.3,42186.4,42102.0,2,1.14,0.1799,0.25,27,TP
BTCUSDT,LONG,2023-12-30 18:40:00,2023-12-30 18:58:00,42376.5,42397.7,42482.5,0,0.38,0.1801,0.08,18,TP
BTCUSDT,LONG,2023-12-31 20:47:00,2023-12-31 21:16:00,42556.4,42577.7,42662.9,0,0.38,0.18,0.09,29,TP
BTCUSDT,SHORT,2024-01-01 20:28:00,2024-01-01 20:58:00,43823.6,43803.9,43716.3,1,0.79,0.18,0.18,30,TP
BTCUSDT,SHORT,2024-01-02 00:42:00,2024-01-02 01:11:00,45200.4,45182.3,45091.9,12,4.23,0.1799,0.94,29,TP
BTCUSDT,SHORT,2024-01-02 02:22:00,2024-01-02 03:04:00,45330.1,45312.0,45221.4,5,1.96,0.1799,0.44,42,TP
BTCUSDT,LONG,2024-01-02 04:06:00,2024-01-02 04:14:00,45289.5,45307.6,45398.2,0,0.33,0.1801,0.07,8,TP
BTCUSDT,LONG,2024-01-02 04:39:00,2024-01-02 05:13:00,45216.9,45239.5,45330.0,0,0.33,0.1802,0.07,34,TP
BTCUSDT,LONG,2024-01-02 09:14:00,2024-01-02 09:20:00,45711.8,45730.1,45821.6,0,0.33,0.1799,0.07,6,TP
BTCUSDT,LONG,2024-01-02 11:50:00,2024-01-02 11:56:00,45363.1,45381.2,45472.0,0,0.33,0.18,0.07,6,TP
BTCUSDT,SHORT,2024-01-02 20:07:00,2024-01-02 20:21:00,45172.0,45149.4,45059.1,0,0.33,0.18,0.07,14,TP
BTCUSDT,SHORT,2024-01-02 21:42:00,2024-01-02 22:23:00,45226.2,45208.1,45117.7,3,1.3,0.1798,0.29,41,TP
BTCUSDT,LONG,2024-01-03 08:40:00,2024-01-03 08:56:00,45058.6,45081.1,45171.3,0,0.32,0.1799,0.07,16,TP
BTCUSDT,SHORT,2024-01-03 12:54:00,2024-01-03 12:55:00,42793.1,42776.0,42690.4,0,0.39,0.1801,0.09,1,TP
BTCUSDT,LONG,2024-01-03 13:22:00,2024-01-03 13:23:00,42315.6,42332.5,42417.2,0,0.38,0.18,0.08,1,TP
BTCUSDT,LONG,2024-01-03 14:13:00,2024-01-03 14:18:00,42227.3,42244.2,42328.7,1,0.76,0.18,0.17,5,TP
BTCUSDT,LONG,2024-01-03 17:21:00,2024-01-03 17:27:00,42679.1,42700.4,42785.8,0,0.38,0.1801,0.09,6,TP
BTCUSDT,LONG,2024-01-03 17:47:00,2024-01-03 17:56:00,42676.7,42693.8,42779.2,0,0.38,0.18,0.09,9,TP
BTCUSDT,SHORT,2024-01-04 03:48:00,2024-01-04 04:01:00,43154.1,43132.5,43046.2,0,0.39,0.1799,0.09,13,TP
BTCUSDT,SHORT,2024-01-04 09:23:00,2024-01-04 10:16:00,42994.7,42977.5,42891.5,0,0.39,0.18,0.09,53,TP
BTCUSDT,LONG,2024-01-04 16:24:00,2024-01-04 16:26:00,43816.3,43838.2,43925.9,0,0.39,0.1801,0.09,2,TP
BTCUSDT,LONG,2024-01-04 17:40:00,2024-01-04 17:51:00,43904.5,43922.1,44009.9,0,0.4,0.18,0.09,11,TP
BTCUSDT,SHORT,2024-01-04 21:01:00,2024-01-04 21:02:00,44389.4,44371.6,44282.9,0,0.4,0.1801,0.09,1,TP
BTCUSDT,SHORT,2024-01-04 21:26:00,2024-01-04 21:32:00,44433.6,44415.8,44327.0,0,0.4,0.1799,0.09,6,TP
