symbol,side,open_time,close_time,ep,bep,tp,dca_count,pnl_usd,pnl_pct,fee_usd,holding_minutes,close_reason
DOGEUSDT,LONG,2023-07-10 23:34:00,2023-07-10 23:53:00,0.06506,0.06509,0.06522,0,0.36,0.1806,0.08,19,TP
DOGEUSDT,SHORT,2023-07-11 11:20:00,2023-07-11 12:02:00,0.06497,0.06494,0.06481,0,0.36,0.1809,0.08,42,TP
DOGEUSDT,SHORT,2023-07-12 01:06:00,2023-07-12 01:27:00,0.06531,0.06528,0.06515,0,0.36,0.1797,0.08,21,TP
DOGEUSDT,LONG,2023-07-12 12:52:00,2023-07-12 12:55:00,0.0651,0.06513,0.06526,0,0.36,0.1804,0.08,3,TP
DOGEUSDT,SHORT,2023-07-12 23:07:00,2023-07-13 00:04:00,0.06502,0.06499,0.06486,3,1.38,0.1728,0.32,57,TP
DOGEUSDT,LONG,2023-07-13 00:27:00,2023-07-13 00:45:00,0.06467,0.0647,0.06483,0,0.35,0.1765,0.08,18,TP
DOGEUSDT,LONG,2023-07-13 17:15:00,2023-07-13 17:20:00,0.06826,0.06829,0.06843,0,0.37,0.1844,0.08,5,TP
DOGEUSDT,SHORT,2023-07-13 17:30:00,2023-07-13 17:41:00,0.06923,0.0692,0.06906,5,2.12,0.1767,0.48,11,TP
DOGEUSDT,SHORT,2023-07-13 17:53:00,2023-07-13 17:54:00,0.06951,0.06948,0.06934,0,0.35,0.1758,0.08,1,TP
DOGEUSDT,SHORT,2023-07-13 18:00:00,2023-07-13 18:01:00,0.06966,0.06963,0.06949,0,0.35,0.1753,0.08,1,TP
DOGEUSDT,SHORT,2023-07-13 18:08:00,2023-07-13 18:09:00,0.06988,0.06985,0.06971,0,0.35,0.1747,0.08,1,TP
DOGEUSDT,SHORT,2023-07-13 18:15:00,2023-07-13 18:16:00,0.07005,0.07002,0.06988,0,0.35,0.1741,0.08,1,TP
DOGEUSDT,SHORT,2023-07-13 18:23:00,2023-07-13 18:24:00,0.07033,0.0703,0.07016,0,0.35,0.1733,0.08,1,TP
DOGEUSDT,LONG,2023-07-13 18:31:00,2023-07-13 18:32:00,0.06901,0.06904,0.06918,0,0.35,0.1774,0.08,1,TP
DOGEUSDT,SHORT,2023-07-13 20:00:00,2023-07-13 20:02:00,0.07034,0.07031,0.07017,0,0.35,0.1732,0.08,2,TP
DOGEUSDT,LONG,2023-07-13 20:39:00,2023-07-13 20:40:00,0.07019,0.07022,0.07036,0,0.35,0.1737,0.08,1,TP
DOGEUSDT,LONG,2023-07-13 20:46:00,2023-07-13 20:56:00,0.06998,0.07001,0.07015,0,0.35,0.1743,0.08,10,TP
DOGEUSDT,LONG,2023-07-13 21:02:00,2023-07-13 21:05:00,0.06947,0.0695,0.06964,2,1.06,0.1759,0.24,3,TP
DOGEUSDT,LONG,2023-07-13 21:11:00,2023-07-13 21:15:00,0.06917,0.0692,0.06934,0,0.35,0.1769,0.08,4,TP
DOGEUSDT,LONG,2023-07-13 21:21:00,2023-07-13 21:30:00,0.06884,0.06887,0.06901,1,0.71,0.1779,0.16,9,TP
