symbol,side,open_time,close_time,ep,bep,tp,dca_count,pnl_usd,pnl_pct,fee_usd,holding_minutes,close_reason
ETHUSDT,SHORT,2023-01-01 17:00:00,2023-01-01 23:37:00,1201.65,1201.14,1198.74,3,1.44,0.1797,0.32,397,TP
ETHUSDT,SHORT,2023-01-02 10:09:00,2023-01-02 10:38:00,1219.68,1219.07,1216.63,0,0.36,0.1804,0.08,29,TP
ETHUSDT,SHORT,2023-01-02 14:04:00,2023-01-02 14:35:00,1217.15,1216.66,1214.23,0,0.36,0.1794,0.08,31,TP
ETHUSDT,SHORT,2023-01-02 15:15:00,2023-01-02 15:20:00,1219.91,1219.42,1216.98,0,0.36,0.1797,0.08,5,TP
ETHUSDT,SHORT,2023-01-02 19:46:00,2023-01-02 20:05:00,1218.66,1218.05,1215.61,0,0.36,0.1806,0.08,19,TP
ETHUSDT,LONG,2023-01-02 22:48:00,2023-01-02 22:49:00,1210.3,1210.78,1213.2,0,0.36,0.1798,0.08,1,TP
ETHUSDT,SHORT,2023-01-04 06:21:00,2023-01-04 07:07:00,1250.23,1249.6,1247.1,0,0.36,0.1804,0.08,46,TP
ETHUSDT,LONG,2023-01-04 15:00:00,2023-01-04 15:01:00,1246.5,1247.12,1249.61,0,0.36,0.1794,0.08,1,TP
ETHUSDT,LONG,2023-01-04 18:00:00,2023-01-04 18:06:00,1258.13,1258.63,1261.15,0,0.36,0.1802,0.08,6,TP
ETHUSDT,LONG,2023-01-04 20:55:00,2023-01-04 20:58:00,1247.88,1248.38,1250.88,0,0.36,0.1804,0.08,3,TP
ETHUSDT,SHORT,2023-01-04 21:04:00,2023-01-05 00:50:00,1256.06,1255.47,1252.96,2,1.08,0.1794,0.24,226,TP
ETHUSDT,LONG,2023-01-05 23:25:00,2023-01-05 23:45:00,1247.82,1248.44,1250.94,0,0.36,0.18,0.08,20,TP
ETHUSDT,LONG,2023-01-06 05:43:00,2023-01-06 13:30:00,1242.31,1242.83,1245.32,5,2.17,0.1805,0.48,467,TP
ETHUSDT,SHORT,2023-01-06 13:41:00,2023-01-06 14:18:00,1250.44,1249.94,1247.44,3,1.44,0.1799,0.32,37,TP
ETHUSDT,LONG,2023-01-07 06:02:00,2023-01-07 06:55:00,1261.37,1262.0,1264.52,0,0.36,0.1799,0.08,53,TP
ETHUSDT,SHORT,2023-01-07 21:49:00,2023-01-07 22:01:00,1265.42,1264.79,1262.26,0,0.36,0.18,0.08,12,TP
ETHUSDT,SHORT,2023-01-08 17:14:00,2023-01-08 17:50:00,1266.97,1266.34,1263.81,0,0.36,0.1797,0.08,36,TP
ETHUSDT,LONG,2023-01-09 02:03:00,2023-01-09 02:08:00,1290.49,1291.14,1293.72,0,0.36,0.1801,0.08,5,TP
ETHUSDT,SHORT,2023-01-09 02:14:00,2023-01-09 02:16:00,1298.53,1298.01,1295.41,0,0.36,0.1802,0.08,2,TP
ETHUSDT,SHORT,2023-01-09 07:31:00,2023-01-09 08:06:00,1311.66,1311.14,1308.52,0,0.36,0.1796,0.08,35,TP
ETHUSDT,SHORT,2023-01-09 18:13:00,2023-01-09 18:19:00,1344.63,1343.96,1341.27,0,0.36,0.1798,0.08,6,TP
ETHUSDT,LONG,2023-01-09 21:36:00,2023-01-09 22:13:00,1319.58,1320.11,1322.75,0,0.36,0.1798,0.08,37,TP
ETHUSDT,SHORT,2023-01-10 06:58:00,2023-01-10 07:31:00,1325.78,1325.12,1322.47,0,0.36,0.1801,0.08,33,TP
ETHUSDT,LONG,2023-01-10 12:17:00,2023-01-10 13:55:00,1325.37,1325.9,1328.55,1,0.72,0.1803,0.16,98,TP
ETHUSDT,SHORT,2023-01-10 14:01:00,2023-01-10 14:22:00,1333.73,1333.2,1330.53,2,1.08,0.1804,0.24,21,TP
ETHUSDT,SHORT,2023-01-10 14:31:00,2023-01-10 14:46:00,1334.22,1333.69,1331.02,0,0.36,0.1804,0.08,15,TP
ETHUSDT,LONG,2023-01-10 14:52:00,2023-01-10 14:53:00,1324.9,1325.43,1328.08,0,0.36,0.1796,0.08,1,TP
ETHUSDT,SHORT,2023-01-11 11:53:00,2023-01-11 12:00:00,1336.82,1336.15,1333.48,0,0.36,0.1796,0.08,7,TP
ETHUSDT,SHORT,2023-01-11 17:11:00,2023-01-11 18:39:00,1338.46,1337.92,1335.24,11,4.33,0.1804,0.96,88,TP
ETHUSDT,SHORT,2023-01-11 23:16:00,2023-01-12 05:49:00,1399.79,1399.23,1396.43,225,81.35,0.18,18.08,393,TP
ETHUSDT,LONG,2023-01-12 07:43:00,2023-01-12 09:00:00,1397.79,1398.49,1401.29,0,0.36,0.1804,0.08,77,TP
ETHUSDT,SHORT,2023-01-12 18:53:00,2023-01-12 18:59:00,1423.76,1423.05,1420.2,0,0.36,0.1804,0.08,6,TP
ETHUSDT,LONG,2023-01-12 19:05:00,2023-01-12 19:07:00,1417.54,1418.11,1420.95,0,0.36,0.1801,0.08,2,TP
ETHUSDT,SHORT,2023-01-12 19:35:00,2023-01-12 19:49:00,1428.36,1427.79,1424.93,2,1.08,0.1805,0.24,14,TP
ETHUSDT,LONG,2023-01-12 21:12:00,2023-01-12 21:34:00,1425.1,1425.67,1428.52,0,0.36,0.1803,0.08,22,TP
ETHUSDT,LONG,2023-01-12 23:50:00,2023-01-13 00:04:00,1414.6,1415.17,1418.0,0,0.36,0.1799,0.08,14,TP
ETHUSDT,SHORT,2023-01-13 14:34:00,2023-01-13 14:39:00,1409.88,1409.18,1406.36,0,0.36,0.1798,0.08,5,TP
ETHUSDT,SHORT,2023-01-13 14:48:00,2023-01-13 14:59:00,1412.05,1411.49,1408.67,1,0.72,0.1795,0.16,11,TP
ETHUSDT,SHORT,2023-01-13 15:48:00,2023-01-13 15:51:00,1422.48,1421.91,1419.07,0,0.36,0.1793,0.08,3,TP
ETHUSDT,SHORT,2023-01-13 18:00:00,2023-01-13 18:20:00,1421.78,1421.21,1418.37,1,0.72,0.1794,0.16,20,TP
ETHUSDT,SHORT,2023-01-13 20:17:00,2023-01-13 20:21:00,1421.78,1421.21,1418.37,0,0.36,0.1794,0.08,4,TP
